year,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_speed_kmh,peak_wind_gust_kmh
1922,5.814609551468215,3.854598669894879,13.475560081466394,111932.3,,
1923,5.394260563380282,3.7729349269588313,13.46043878725854,109273.4,,
1924,5.164045896081883,3.524172907119705,13.216570227798757,114516.0,18.580601092896174,
1925,5.958639820471263,3.9688741721854304,13.679827267119062,113863.9,19.267397260273974,
1926,5.078403701561597,3.893342615511551,13.39329003167105,110882.5,18.00027397260274,
1927,5.020269535920009,3.7293853890554165,13.200659937888199,112661.4,17.79849315068493,
1928,4.517941924544298,3.6005130563151906,13.016154335922577,112348.0,19.19412568306011,
1929,4.297889278793275,2.8666412513574087,12.770482905672264,109794.1,18.193424657534248,
1930,5.241363815919415,3.9260730358462266,13.602930191811138,119790.7,18.51123287671233,
1931,5.254314696637775,3.739526028038377,13.388035722103051,123288.4,12.559859154929578,
1932,5.9499272676082775,4.090113489866221,13.77618923441337,118176.7,12.853259361997226,
1933,4.592502505238225,3.36309809602649,13.004984913518337,124209.2,14.02085798816568,
1934,5.737531211694739,4.259555583141953,14.06719866304575,123735.6,13.85596590909091,
1935,6.155851922992972,4.051092537068222,13.780232002162027,122257.1,13.947175141242939,
1936,6.788217279174726,4.130708689207313,13.770694619398956,157971.9,13.875142531356898,
1937,6.480076069549302,3.706882494004796,13.33395425118688,155492.0,15.920645709430755,
1938,6.918540357660706,4.308023176550784,14.136780048469431,150586.5,17.031805157593123,
1939,6.767688509734071,4.0164790731449695,13.90617855833639,162155.8,13.884632516703785,
1940,5.958786734332586,3.239639315544155,13.271606654764351,181407.8,14.555311355311355,
1941,5.94705037692952,3.6240101610399384,13.487584140084413,181404.1,15.593935991016282,
1942,7.746571791201966,4.009833134684148,13.900983895669931,172779.4,15.465308254963428,
1943,11.17298486685527,5.790717151595073,15.882472502195641,176600.9,14.5123246413569,
1944,12.23898865784499,6.600764475000641,16.556452400534592,180171.0,14.236248156969491,
1945,11.258511134074931,7.338194759957595,17.381413977246343,212685.2,14.162567895527562,
1946,9.359265974127792,6.198915510718789,16.000171182564927,221766.5,14.115091627739849,
1947,8.26291438454886,6.398053929248784,16.482389174277017,226264.4,15.418196783588705,
1948,8.442229752474137,6.302847222222222,16.58251306526152,257987.1,16.310622317596568,394.2
1949,8.735000388893209,6.385030850126135,16.712017132533543,249692.5,16.021024288383337,154.4
1950,8.412643898028032,6.414502995266622,16.5932678700361,282938.5,16.527165991902834,138.2
1951,9.622438154799305,8.187908589994072,18.374090365028895,402568.1,16.118790790427845,364.7
1952,9.336781187327137,8.263625426245737,18.368593033976907,417444.3,15.784289367921081,136.8
1953,9.864812387450845,8.779260423505693,18.727345654685966,432340.8,15.596855243961745,129.6
1954,10.651132192984408,8.521568601977316,18.382492904909476,455753.9,15.344857062780267,168.8
1955,11.214405161840771,8.716135489816022,18.718192163669077,466489.0,16.485642637922002,177.5
1956,10.84809573316925,8.265435932177873,18.158796756506682,478066.0,16.319856990219446,360.7
1957,13.319207674727796,9.50909919269186,19.478251526477234,475359.0,14.990456719107353,175.7
1958,13.92984654942973,9.952990909188944,19.987381127345035,479876.1,14.821633106694561,142.6
1959,12.263234455993704,8.793595569353885,18.913653592214015,465926.8,14.287734528143377,192.6
1960,13.344099224084935,8.869079867847107,18.847056386705805,497023.5,14.099045126609138,166.7
1961,14.594626357346854,9.43451415355549,19.283335828633852,516781.2,14.37616991643454,124.2
1962,14.0236508994004,8.924146324159421,18.793231982980235,517544.5,15.10564560765399,139.0
1963,13.635147641298667,8.648421418451091,18.862532844566935,531788.1,14.380446308459288,157.3
1964,13.907773654014456,8.703204670705597,18.740872904727023,523415.1,14.965558450894061,123.8
1965,14.587768619014238,8.623617816996463,18.693219471084607,503128.2,14.217843546604445,142.6
1966,13.548626779869407,8.7064363125679,18.73235490893644,515171.0,13.26600566572238,144.4
1967,13.04914399712857,8.979146228492459,19.064018604369608,524185.0,13.486080127475528,144.0
1968,12.04313024766077,8.616147761696398,18.615486679472188,508278.6,12.860471350385346,140.4
1969,8.989449966579702,7.8012666154015164,17.56697404964416,510248.1,13.462724051688204,154.8
1970,9.2977513059723,8.141163762300039,18.01486159852487,518612.9,13.614274708342505,126.0
1971,8.139681393634017,8.084790488028716,18.057720316256706,426846.4,14.803768975745943,126.0
1972,8.086723421104733,8.51402183938826,18.339161758990763,450593.0,14.681826777609682,151.6
1973,15.308310270691726,9.669427004720767,19.47043316190655,606697.3,14.529742791612058,205.6
1974,15.047838745543952,9.583202247865609,19.169827568665276,642283.4,14.621080398276119,151.6
1975,15.702251481863165,10.058559848689544,19.82896242914474,566328.8,14.112873044635924,139.0
1976,15.28848638582295,9.507880220942885,19.33631195131797,565646.3,14.132090959899399,255.2
1977,15.999565672599548,10.278485971609651,19.99382489405912,688384.2,14.003301974376432,410.8
1978,15.818257348043229,10.155354902620058,19.97793363193656,719375.1,13.923901940755874,162.7
1979,15.958204097964355,10.60825534903051,20.502258839758166,771215.6,14.175469040148556,139.0
1980,15.739003145818529,10.407554957763116,20.175568054804398,758108.8,13.98554066872184,133.2
1981,15.988193863435608,10.02513150073461,20.418342255512307,769041.0,13.880012685106031,131.4
1982,16.107005197091237,9.751024695762476,20.297304217091654,717332.5,13.780665623428156,129.6
1983,16.504499417551127,10.173963515124818,20.85235692028137,721741.2,14.279970894195008,133.2
1984,15.855119401356703,9.657880644857169,20.214919720281692,710147.1,13.96728439059159,157.3
1985,15.760522638300346,9.542354086655488,20.13512912349522,674022.5,14.06212344638719,153.7
1986,15.967383990310363,10.250154955996944,20.403357661142326,664772.0,14.114498458988372,144.0
1987,16.057153639020896,10.393331766662449,20.453062434280632,691057.2,13.718355017356052,186.8
1988,16.228209734338208,10.60649812626531,20.686697807944185,714902.7,14.483834298830473,144.4
1989,16.313259069400633,10.727394620921821,21.00988148365424,684353.0,13.970785718191264,148.0
1990,16.52684331797235,11.007761466374042,21.254294512721902,736030.1,14.359483321578768,172.1
1991,16.211487175694373,10.774393455423056,20.820556606694417,749566.2,13.58999880767855,175.7
1992,16.21699856335716,10.666149499338012,20.853112023308693,744322.7,13.638318861553303,188.6
1993,16.332374650786647,10.682867937040983,20.9153805925618,790087.7,13.836900808010707,165.6
1994,16.93030264129144,11.209476266703787,21.580291727387625,849500.6,14.008323013415891,192.6
1995,16.95919417546414,11.08139073401011,21.622821337591223,776291.3,13.667734565266514,139.0
1996,16.604894129470477,10.707694750832859,21.0418893482683,812682.7,13.085661438295354,127.8
1997,16.889501911270706,11.00928082818416,21.2975641747563,751598.6,12.835610934457344,173.9
1998,17.277225680685532,11.406073045578026,21.569495900187963,787072.8,13.46073994428425,116.6
1999,17.045452437656003,11.097955239209197,21.31980353807423,510325.3,13.454762317333795,180.0
